"","asin","asin_2","real_name_norm","real_name_chr_len","title_lower","chr_len_dynamic","is_the_same","need_fix","X..i.."
"1","B08LVXG2V1","B08LVXG2V1","0","1",NA,NA,NA,NA,NA
"2","B07Y8DPHCL","B07Y8DPHCL","0","1","bellissima imetec p3 3400 asciugacapelli con motore ac professionale, tecnologia a ioni per capelli morbidi, idratati e luminosi, griglia rivestita in ceramica, 2400 w di potenza","178","FALSE","Fix Me Please My Lord",NA
"3","B07FZ4PVRP","B07FZ4PVRP","0","1",NA,NA,NA,NA,NA
"4","B07FYHM3QY","B07FYHM3QY","0","1",NA,NA,NA,NA,NA
"5","B07S5L8VYG","B07S5L8VYG","0","1",NA,NA,NA,NA,NA
"6","B06WGV3DBP","B06WGV3DBP","0","1",NA,NA,NA,NA,NA
"7","B08NKXBJX1","B08NKXBJX1","0","1","bellissima my pro imetec beach waves gt20 400 piastra per capelli per onde larghe e strette, rivestimento in ceramica, temperatura regolabile 160 c°- 200°c","155","FALSE","Fix Me Please My Lord",NA
"8","B07W3VJQZD","B07W3VJQZD","0","1","bellissima my pro imetec gh18 1100 modellatore ad aria, rivestimento spazzole in ceramica, 5 accessori per realizzare capelli lisci e luminosi, a onde morbide o ricci stretti, 1000 w","182","FALSE","Fix Me Please My Lord",NA
"9","B08J8XH5BH","B08J8XH5BH","0","1","bellissima my pro imetec twist & style gt22 100, manico per styler arricciacapelli per onde e ricci, temperatura automatica, riscaldamento rapido, orientabile a 90°, accessori non inclusi","187","FALSE","Fix Me Please My Lord",NA
"10","B08J8XNFNC","B08J8XNFNC","0","1","bellissima my pro imetec gt22 110, accessorio soft curls per styler arricciacapelli twist & style, ferro riscaldato da 25 mm, rivestimento in ceramica, temperatura 185°c","169","FALSE","Fix Me Please My Lord",NA
"11","B08J8XCSH4","B08J8XCSH4","0","1","bellissima my pro imetec gt22 120, accessorio sculpted curls per styler arricciacapelli twist & style, ferro riscaldato da 11 mm, rivestimento in ceramica, temperatura 185°c","173","FALSE","Fix Me Please My Lord",NA
"12","B08J8XCSHB","B08J8XCSHB","0","1","bellissima my pro imetec gt22 130, accessorio loose waves per styler arricciacapelli twist&style, ferro riscaldato ad ellisse, diametro da 26 a 38 mm, rivestimento ceramica, temperatura 190°c","191","FALSE","Fix Me Please My Lord",NA
"13","B08J8XN21F","B08J8XN21F","0","1","bellissima my pro imetec gt22 140 accessorio glamour waves per styler arricciacapelli twist&style, ferro riscaldato forma conica, diametro 13/38 mm, rivestimento in ceramica, temperatura 190°c","192","FALSE","Fix Me Please My Lord",NA
"14","B09CTZ6WKM","B09CTZ6WKM","0","1","bellissima my pro imetec gt22 150 accessorio mermaid waves per styler arricciacapelli twist&style, ferro riscaldato forma bubbles, diametro 25 mm, rivestimento in ceramica, temperatura 190°c","190","FALSE","Fix Me Please My Lord",NA
"15","B09CTZZGFY","B09CTZZGFY","0","1","bellissima my pro imetec gt22 160, accessorio hollywood waves per styler arricciacapelli twist&style, rivestimento in ceramica, temperatura 190°c, ovale, diametro 38 x 25 mm","173","FALSE","Fix Me Please My Lord",NA
"16","B07JVLQ38M","B07JVLQ38M","0","1","bellissima my pro imetec ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, 2300 w","129","FALSE","Fix Me Please My Lord",NA
"17","B082WSYYCX","B082WSYYCX","0","1","bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso d'aria temperatura, diffusore capellli ricci","194","FALSE","Fix Me Please My Lord",NA
"18","B082WSZXHB","B082WSZXHB","0","1","bellissima imetec asciugacapelli s9 2200 asciuga e modella con precisione, 2200 w, 8 combinazioni flusso d'aria temperatura, beccussio di precisione, colpo aria fredda","167","FALSE","Fix Me Please My Lord",NA
"19","B09CTY5P2L","B09CTY5P2L","0","1","bellissima imetec creativity 4 you, asciugacapelli professionale, 4 accessori, diffusore, controllo intelligente della temperatura, ion technology, beauty bag, 2 velocità, 3 temperature, 1800 w","193","FALSE","Fix Me Please My Lord",NA
"20","B09SGB55N4","B09SGB55N4","0","1","bellissima imetec diffon supreme, diffusore ad aria calda per capelli ricci, diffusore xl con 12 dita, 2 velocità, 3 temperature, asciugatura delicata, nero e oro, ‎15 x 15 x 19.5 cm; 600 grammi","194","FALSE","Fix Me Please My Lord",NA
"21","B015O6A6GM","B015O6A6GM","0","1","bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci","178","FALSE","Fix Me Please My Lord",NA
"22","B00G3DNXIE","B00G3DNXIE","0","1","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo d'aria fredda","147","FALSE","Fix Me Please My Lord",NA
"23","B07Y8DHN3F","B07Y8DHN3F","0","1",NA,NA,NA,NA,NA
"24","B015O6AFPE","B015O6AFPE","0","1","imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per un'asciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m","198","FALSE","Fix Me Please My Lord",NA
"25","B00O4QVS66","B00O4QVS66","0","1",NA,NA,NA,NA,NA
"26","B093C19CSD","B093C19CSD","0","1","imetec salon expert p3 3600 asciugacapelli, motore professionale, 2200 w, ionizzatore, griglia ceramica e tormalina, 8 combinazioni aria temperatura, concentratore e diffusore professionali","189","FALSE","Fix Me Please My Lord",NA
"27","B079Z9GXQS","B079Z9GXQS","0","1","imetec salon expert p5 3600 asciugacapelli professionale, 2300 w, griglia con rivestimento in ceramica e cheratina, tecnologia a ioni, 8 combinazioni aria/temperatura, 2 beccucci","178","FALSE","Fix Me Please My Lord",NA
"28","B09ZJ9QXZY","B09ZJ9QXZY","0","1","bellissima imetec creativity ceramic & tourmaline, piastra per capelli, liscio o mosso, rivestimento in ceramica e tormalina, regolazione temperatura da 150-230°c, riscaldamento rapido","184","FALSE","Fix Me Please My Lord",NA
"29","B07S5L9937","B07S5L9937","0","1","bellissima imetec my pro creativity infrared b8 200, piastra lisciante, tecnologia raggi infrarossi, rivestimento in ceramica e cheratina, 11 livelli di temperatura da 130 °c a 230 °c, cavo 1,8 m","195","FALSE","Fix Me Please My Lord",NA
"30","B072MSQDQG","B072MSQDQG","0","1",NA,NA,NA,NA,NA
"31","B00RP0J7AW","B00RP0J7AW","0","1",NA,NA,NA,NA,NA
"32","B00VYLJ4H4","B00VYLJ4H4","0","1","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","177","FALSE","Fix Me Please My Lord",NA
"33","B015O6A68K","B015O6A68K","0","1","bellissima imetec creativity b9 400 piastra per capelli, styling liscio o mosso, rivestimento in ceramica e cheratina, piastre arrotondate","138","FALSE","Fix Me Please My Lord",NA
"34","B079FN8N4T","B079FN8N4T","0","1",NA,NA,NA,NA,NA
"35","B00HLUUNOK","B00HLUUNOK","0","1",NA,NA,NA,NA,NA
"36","B075RGG4Y5","B075RGG4Y5","0","1",NA,NA,NA,NA,NA
"37","B01N55NF5G","B01N55NF5G","0","1","bellissima imetec creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c","173","FALSE","Fix Me Please My Lord",NA
"38","B06WP9PPT6","B06WP9PPT6","0","1","bellissima imetec intellisense b24 100 piastra intelligente, capelli lisci o mossi, protetti senza calore eccessivo, temperatura automatica su misura per tutti i capelli, rivestimento in ceramica","195","FALSE","Fix Me Please My Lord",NA
"39","B09BJ7LNR6","B09BJ7LNR6","0","1","bellissima imetec steam elixir, piastra a vapore, capelli lisci in una sola passata senza danni, rivestimento in ceramica e olio argan, rapido riscaldamento, 4 temperature, tappetino termoresistente","198","FALSE","Fix Me Please My Lord",NA
"40","B08X7BYVZQ","B08X7BYVZQ","0","1","bellissima imetec my pro revolution bhs4 1100, spazzola ad aria calda, asciuga e modella, rotazione automatica a doppio verso, 2 spazzole da 40 e 50 mm, ionizzatore, 1000 w, rivestimento in ceramica","198","FALSE","Fix Me Please My Lord",NA
"41","B09BHV4DWG","B09BHV4DWG","0","1",NA,NA,NA,NA,NA
"42","B00N4K5PDK","B00N4K5PDK","0","1","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso d'aria/temperatura, puntale antiscottatura","178","FALSE","Fix Me Please My Lord",NA
"43","B00SKVYB6K","B00SKVYB6K","0","1",NA,NA,NA,NA,NA
"44","B075RFR2CV","B075RFR2CV","0","1","bellissima imetec gt15 200 ferro arricciacapelli con rivestimento in ceramica, forma conica, controllo della temperatura","120","FALSE","Fix Me Please My Lord",NA
"45","B00VRGPXF8","B00VRGPXF8","0","1","bellissima imetec gt15 100 arricciacapelli, ricci brillanti e definiti, diametro 19 mm, rivestimento in ceramica, riscaldamento rapido, pronto all'uso","150","FALSE","Fix Me Please My Lord",NA
"46","B0B9HC9HSR","B0B9HC9HSR","0","1",NA,NA,NA,NA,NA
"47","B0BFBDBJK2","B0BFBDBJK2","0","1","bellissima diffon ceramic argan, diffusore ad aria calda per capelli ricci, tecnologia ceramica e argan oil, asciugatura delicata, 2 livelli aria/temperatura, 700 w","164","FALSE","Fix Me Please My Lord",NA
"48","B0BFGMJSV6","B0BFGMJSV6","0","1",NA,NA,NA,NA,NA
"49","B0BFBDBJK2","B0BFBDBJK2","0","1","bellissima diffon ceramic argan, diffusore ad aria calda per capelli ricci, tecnologia ceramica e argan oil, asciugatura delicata, 2 livelli aria/temperatura, 700 w","164","FALSE","Fix Me Please My Lord",NA
"50","B0987B62CP","B0987B62CP","0","1","imetec silent power comfort, termoventilatore silenzioso e compatto, stufetta elettrica, 2100 w, 4 funzioni, termostato ambiente e di sicurezza, funzione antigelo, maniglia","172","FALSE","Fix Me Please My Lord",NA
"51","B0987BTDT2","B0987BTDT2","0","1","imetec silent power eco, termoventilatore silenzioso, stufetta elettrica, tecnologia eco -35% consumo energetico, 2100 w, funzione antigelo, temperatura regolabile, 4 funzioni, termostato ambiente","196","FALSE","Fix Me Please My Lord",NA
