"","ASIN CORRETTI","ASIN LIVE","ASIN CORRETTI uguale a ASIN LIVE?","NOME PRODOTTO LIVE","NOME PRODOTTO CORRETTO","NOME PRODOTTO LIVE uguale a NOME PRODOTTO CORRETTO?","LUNGHEZZA NOME PRODOTTO LIVE","LUNGHEZZA NOME PRODOTTO CORRETTO","LUNGHEZZA NOME PRODOTTO LIVE uguale a LUNGHEZZA NOME PRODOTTO CORRETTO","LE TRE CONDIZIONI SONO TRUE? SE SI TRUE ALTRIMENTI FALSE"
"1","B0056BZZDA","B0056BZZDA",TRUE,"imetec scaldasonno singolo 150x80 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","imetec scaldasonno singolo 150x80 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy",TRUE,137,137,TRUE,"TRUE"
"2","B0056C02MI","B0056C02MI",TRUE,"imetec scaldasonno matrimoniale 150x160 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy","imetec scaldasonno matrimoniale 150x160 cm, basso consumo, 50% lana e merino, 2 temperature, dispositivo sicurezza electro block, made in italy",TRUE,143,143,TRUE,"TRUE"
"3","B009E7CBIY","B009E7CBIY",TRUE,"bellissima imetec face cleansing spazzola per pulizia viso, deterge ed esfolia la pelle del viso, bianco, 16 x 5 x 16 cm","bellissima imetec face cleansing spazzola per pulizia viso, deterge ed esfolia la pelle del viso, bianco, 16 x 5 x 16 cm",TRUE,120,120,TRUE,"TRUE"
"4","B00A9269R2","B00A9269R2",TRUE,"imetec scaldasonno singolo 150 x 80 cm, basso consumo, comando 2 temperature, tessuto trapuntato, made in italy, lavabile a mano e in lavatrice","imetec scaldasonno singolo 150 x 80 cm, basso consumo, comando 2 temperature, tessuto trapuntato, made in italy, lavabile a mano e in lavatrice",TRUE,143,143,TRUE,"TRUE"
"5","B00FM266R2","B00FM266R2",TRUE,"imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico","imetec dolcevita es4 bilancia elettronica da cucina, pesa solidi e liquidi, contenitore estraibile, scala graduata, portata 5 kg, divisione 1 g, funzione tara, display digitale, spegnimento automatico",TRUE,200,200,TRUE,"TRUE"
"6","B00G3DNXIE","B00G3DNXIE",TRUE,"bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo daria fredda","bellissima imetec s5 2200 asciugacapelli, 2200 w, asciugatura rapida e styling a lunga durata, 8 combinazioni aria/temperatura, colpo daria fredda",TRUE,146,146,TRUE,"TRUE"
"7","B00GLSDCS2","B00GLSDCS2",TRUE,"imetec nuvola ferro da stiro da viaggio a vapore, piastra in acciaio inossidabile da 1000 w, custodia da viaggio, doppio voltaggio","imetec nuvola ferro da stiro da viaggio a vapore, piastra in acciaio inossidabile da 1000 w, custodia da viaggio, doppio voltaggio",TRUE,130,130,TRUE,"TRUE"
"8","B00HLUUNOK","B00HLUUNOK",TRUE,"bellissima imetec creativity b15 50 piastra per capelli, styling liscio o mosso, rivestimento in nanoceramica, regolazione della temperatura da 140°c a 230°c, piastre oscillanti","bellissima imetec creativity b15 50 piastra per capelli, styling liscio o mosso, rivestimento in nanoceramica, regolazione della temperatura da 140°c a 230°c, piastre oscillanti",TRUE,177,177,TRUE,"TRUE"
"9","B00IRAFHB2","B00IRAFHB2",TRUE,"bellissima imetec kit testine di ricambio face cleansing per pelli normali e pelli sensibili, 4 diverse testine per detergere, massaggiare, levigare e idratare la pelle","bellissima imetec kit testine di ricambio face cleansing per pelli normali e pelli sensibili, 4 diverse testine per detergere, massaggiare, levigare e idratare la pelle",TRUE,168,168,TRUE,"TRUE"
"10","B00K6MR6JK","B00K6MR6JK",TRUE,"imetec scaldasonno matrimoniale 150 x 137 cm, basso consumo, 2 comandi con 2 temperature, tessuto trapuntato, made in italy, lavabile a mano e in lavatrice","imetec scaldasonno matrimoniale 150 x 137 cm, basso consumo, 2 comandi con 2 temperature, tessuto trapuntato, made in italy, lavabile a mano e in lavatrice",TRUE,155,155,TRUE,"TRUE"
"11","B00M975Z7K","B00M975Z7K",TRUE,"imetec 16176a scaldasonno sensitive matrimoniale, si adatta ai cambi di temperatura, morbido peluche, coprimaterasso maxi 190 x 160, electro block, 6 temperature, timer, risparmio energetico, lavabile","imetec 16176a scaldasonno sensitive matrimoniale, si adatta ai cambi di temperatura, morbido peluche, coprimaterasso maxi 190 x 160, electro block, 6 temperature, timer, risparmio energetico, lavabile",TRUE,200,200,TRUE,"TRUE"
